"ARTÍCULO","CONCEPTO SANCIÓN","2014 (hasta mayo)",2013,2012
"13","Mobiliario no autorizado",,,1
"14","No retirar elementos al final de la actividad",,,
"31","Instalación sin autorización municipal",,,2
"28.1","Realización barbacoas",,,5
"28.10","Embarcaciones con motor",1,1,
"28.11","Windsurf ",,,
"28.12","Jabón",,,
"28.13","Arrojar residuos",1,1,1
"28.15","Plagas, jauría o gatería (dar comida peces, palomas)",2,,1
"28.16","Varado sin autorización",,,
"28.17","Extracción/recolección ",,1,
"28.18","Bicicletas",14,22,25
"28.19","Aterrizaje en playas",,,
"28.2","Acampadas",15,11,12
"28.21","Deterioro calidad medioambiental ",2,,1
"28.3","Casetas",9,,
"28.4","Juegos de pelota",1,,4
"28.5","Tránsito o estancia animales",15,17,15
"28.6","Ruido ",2,,
"28.7","Pesca",,5,3
"28.8","Preparación de pescado ",,1,
"28.9","Actividad sin autorización",17,23,9
"36.11","Mal estado elementos",,,
"36.12","Instalación de elementos no homologados",,,
"36.13","Instalación elementos no autorizados",,,
"36.14","Publicidad",,,
"36.16","Modificación emplazamiento",,1,
"36.17","Sonido",,,
"36.3","Obstaculizar ",,,
"36.4","Mal uso barandilla",,,
"TOTAL:",,79,83,79
